salary_delay_days,salary_amount_variance,salary_frequency_irregular,savings_drawdown_rate_4w,savings_balance_trend_slope,emergency_fund_days,upi_lending_app_txn_count_30d,upi_lending_app_amount_30d,upi_lending_app_diversity,utility_payment_delay_avg,bill_payment_delay_max,discretionary_spend_pct_change,essential_spend_ratio,atm_withdrawal_spike_30d,has_loan,emi_to_income_ratio,loan_to_income_ratio,age,monthly_income,employment_type_GIG_WORKER,employment_type_SALARIED,employment_type_SELF_EMPLOYED,city_tier_TIER_2,city_tier_TIER_3
0.0,-0.00021312715,0.0,0.0045186486,0.006157503,-0.044868954,0.0,-0.00035436603,0.0,0.018309213,0.0,-0.00031137755,-0.0065297326,0.0012436687,0.0,-3.7031434e-05,-0.00035065186,0.0006624266,0.0003121309,0.0,0.0,0.0,0.0,0.00027398457
0.0,-0.00097208784,0.0,0.00082809106,0.006627496,-0.05277374,0.0,-0.00035436603,0.0,-0.13792588,0.0,-0.00031137755,-0.0047562136,0.0012436687,0.0,6.351549e-05,-0.002849778,0.00018699338,0.00011891942,0.0,0.0,0.0,0.0,-0.00046808118
0.0,0.009014375,0.0,-0.00090679247,0.0033752343,0.06382725,0.0,0.00096366386,0.0,0.12974697,0.0,-0.00027567576,0.00847964,0.0005846538,0.0,-0.000112155045,0.0033699665,0.00015681246,0.00011891942,0.0,0.0,0.0,0.0,0.00045459825
0.0,0.009014375,0.0,-0.0007298237,0.0033752343,0.063923985,0.0,0.0020384404,0.0,0.13452834,0.0,-0.00014305294,0.007478738,-0.0007194777,0.0,-3.7031434e-05,-0.0006626048,0.00015681246,0.00011891942,0.0,0.0,0.0,0.0,0.00045459825
0.0,0.009014375,0.0,-0.0007298237,0.00326968,0.064100854,0.0,0.00096366386,0.0,0.13819358,0.0,0.0006727832,0.0031433343,0.0010609839,0.0,-3.7031434e-05,-0.0006626048,0.00015681246,0.00011891942,0.0,0.0,0.0,0.0,-0.00046808118
0.0,-0.0002339295,0.0,0.0045351028,0.0027996865,-0.013791296,0.0,-0.001170285,0.0,0.010844668,0.0,-0.0017853137,0.0037336429,0.0075128293,0.0,-3.7031434e-05,-0.0006626048,0.0017429257,-0.00044425012,0.0,0.0,0.0,0.0,-0.0012147739
0.0,-0.0003488319,0.0,0.00085411745,0.006157503,-0.052996077,0.0,-0.00035436603,0.0,-0.13894019,0.0,-0.00031137755,-0.006249612,0.0012436687,0.0,-7.003697e-05,-0.0007391213,0.00018699338,0.00011891942,0.0,0.0,0.0,0.0,0.00010557275
0.0,0.009014375,0.0,-0.0007298237,0.0033752343,0.063923985,0.0,0.0020384404,0.0,0.13452834,0.0,-0.00014305294,0.007478738,-0.0007194777,0.0,-3.7031434e-05,-0.0006626048,0.00015681246,0.00011891942,0.0,0.0,0.0,0.0,0.00045459825
0.0,-0.0001367922,0.0,0.0045351028,0.013221907,-0.035871312,0.0,-0.00035436603,0.0,0.018073596,0.0,-0.00031137755,0.013982259,0.0012436687,0.0,-3.7031434e-05,-0.0006626048,0.0006624266,0.0003121309,0.0,0.0,0.0,0.0,0.00027398457
0.0,-0.0002339295,0.0,-0.0028811283,0.00326968,-0.011650577,0.0,0.0031824762,0.0,0.007227021,0.0,-0.0017853137,0.0034986464,0.0007843517,0.0,-3.7031434e-05,-0.0006626048,0.00043610283,0.0003121309,0.0,0.0,0.0,0.0,-0.0012147739
0.0,-0.00097208784,0.0,-0.0016152665,-0.0072430656,-0.055088956,0.0,-0.00074959133,0.0,-0.12708917,0.0,-0.0005912598,0.005358429,-0.0015304646,0.0,0.00031380955,0.014493788,-0.0034943237,0.0012894961,0.0,0.0,0.0,0.0,0.00010557275
0.0,-0.0002339295,0.0,-0.0028811283,0.00326968,-0.014026293,0.0,-0.001170285,0.0,0.007855296,0.0,-0.0017853137,0.0013816103,0.0075128293,0.0,-3.7031434e-05,-0.0006626048,0.00043610283,0.0003121309,0.0,0.0,0.0,0.0,0.00027398457
0.0,-0.0002339295,0.0,-0.0028975822,0.0021060742,-0.0056916564,0.0,0.0031824762,0.0,0.008167249,0.0,-0.0017853137,-0.004021155,0.0007843517,0.0,-3.7031434e-05,-0.00035065186,0.00043610283,0.0003121309,0.0,0.0,0.0,0.0,0.00027398457
0.0,-0.0003488319,0.0,-0.0012455833,-0.0072430656,-0.05554629,0.0,-0.00074959133,0.0,-0.1301355,0.0,-0.0005912598,0.005358429,-0.0015304646,0.0,0.00031380955,0.014493788,0.00018699338,0.00011891942,0.0,0.0,0.0,0.0,0.00010557275
